CODICE,TIPO,DESTINAZIONE,ZONA,QUARTIERE,BUDGET,SERVIZI_MINIMI
HSPANLO,H,SPAGNA,ANDALUSIA,GRANADA | SEVILLA | CORDOBA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HSPANME,H,SPAGNA,ANDALUSIA,GRANADA | SEVILLA | CORDOBA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HSPANHI,H,SPAGNA,ANDALUSIA,GRANADA | SEVILLA | CORDOBA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGITOLO,H,GIAPPONE,TOKYO,SHIBUYA | SHINJUKU | ASAKUSA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HGITOME,H,GIAPPONE,TOKYO,SHIBUYA | SHINJUKU | ASAKUSA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGITOHI,H,GIAPPONE,TOKYO,SHIBUYA | SHINJUKU | ASAKUSA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGIKYLO,H,GIAPPONE,KYOTO,GION | ARASHIYAMA | STAZIONE,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HGIKYME,H,GIAPPONE,KYOTO,GION | ARASHIYAMA | STAZIONE,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGIKYHI,H,GIAPPONE,KYOTO,GION | ARASHIYAMA | STAZIONE,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGIOSLO,H,GIAPPONE,OSAKA,DOTONBORI | NAMBA | UMEDA,LOW,Max 2 stelle | Posto letto/Doppia/Tripla | Bagno in comune o privato | Aria condizionata e Wi Fi
HGIOSME,H,GIAPPONE,OSAKA,DOTONBORI | NAMBA | UMEDA,MEDIUM,3 o 4 stelle | Mono/Doppia/Tripla | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
HGIOSHI,H,GIAPPONE,OSAKA,DOTONBORI | NAMBA | UMEDA,HIGH,5 stelle | Mono/Doppia | Bagno privato Aria Cond. e Wi Fi | Colazione inclusa
